,title,link
0,AI 개발 효율성·생산성 높이는 'MLOps' 주목,https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3LmRhdGFuZXQuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTE1MTcxM9IBAA?hl=ko&gl=KR&ceid=KR%3Ako
1,"슈퍼브에이아이, 'AI 인프라스트럭쳐 얼라이언스' 합류",https://news.google.com/articles/CBMiO2h0dHA6Ly93d3cuaXJvYm90bmV3cy5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTIyNTEy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
2,"슈퍼브에이아이, 데이터 라벨링 콘텐츠 소개하는 기술 블로그 개설",https://news.google.com/articles/CAIiEOk3fWXXBxvoTmOxrcU5VKkqGQgEKhAIACoHCAowsuLcCjDz7M4BMMTahgI?hl=ko&gl=KR&ceid=KR%3Ako
3,"머신러닝 운영과 관리, 'ML옵스'가 뜬다",https://news.google.com/articles/CBMiJmh0dHBzOi8vd3d3Lml0d29ybGQuY28ua3IvaG93dG8vMTYyMDQ10gEA?hl=ko&gl=KR&ceid=KR%3Ako
4,"슈퍼에이브아이, 글로벌 인공지능 기업 연합체 합류 - 매일경제",https://news.google.com/articles/CBMiOGh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvYnVzaW5lc3Mvdmlldy8yMDIwLzEwLzEwMjIxNjEv0gE6aHR0cHM6Ly9tLm1rLmNvLmtyL25ld3MvYnVzaW5lc3Mvdmlldy1hbXAvMjAyMC8xMC8xMDIyMTYxLw?hl=ko&gl=KR&ceid=KR%3Ako
5,머신러닝 라이프사이클 관리를 돕는 10가지 ML옵스 플랫폼,https://news.google.com/articles/CBMiJWh0dHBzOi8vd3d3Lml0d29ybGQuY28ua3IvbmV3cy8xNjU2ODXSAQA?hl=ko&gl=KR&ceid=KR%3Ako
6,"현대로보틱스, 마키나락스와 'AI기반 로봇관리' 고도화 나서",https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3Lmlyb2JvdG5ld3MuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yMzI0M9IBAA?hl=ko&gl=KR&ceid=KR%3Ako
7,[누구나 개발자 #1] ③Azure에서 머신러닝을 한다는 것,https://news.google.com/articles/CBMiRWh0dHA6Ly9pdC5jaG9zdW4uY29tL3NpdGUvZGF0YS9odG1sX2Rpci8yMDIwLzA4LzAyLzIwMjAwODAyMDAxMDMuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
8,"마키나락스-현대로보틱스, AI 기반 산업용 로봇팔 이상탐지 기술 고도화 위해 협력",https://news.google.com/articles/CBMiI2h0dHBzOi8vbS5ldG5ld3MuY29tLzIwMjAxMjExMDAwMTI00gEnaHR0cHM6Ly9tLmV0bmV3cy5jb20vYW1wLzIwMjAxMjExMDAwMTI0?hl=ko&gl=KR&ceid=KR%3Ako
9,"""컴퓨팅 파워, 인공지능으로 최적화한다""",https://news.google.com/articles/CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMDEyMTExNzAzMTbSAQA?hl=ko&gl=KR&ceid=KR%3Ako
